# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     23     32      -      0      0      0      0      0      0  10251   2520    480    480      0 
    0     46     32      -      3      1      0      0      0      0  10251   2520   1054   1054      0 
    0     63     33      -     14      3      0      0      0      0  10251   2520  10224  10224      0 
    0     77     35      -     94    100      0      0      0      0  10251   2520  14442  14442      0 
    0    200     38      -     93    100      0      0      0      0  10251   2805  14442  14442      0 
    0    207     39      -     94    100      0      0      0      0  10251   2805  14442  14442      0 
    0    207     39      -     94    100      0      0      0      0  10251   2805  14442  14442      0 
    0    207     39      -     92    100      0      0      0      0  10251   2805  14442  14442      0 
    0    207     39      -     94    100      0      0      0      0  10251   2805  14442  14442      0 
    0    207     40      -     94    100      0      0      0      0  10251   2805  14442  14442      0 
    0    208     40      -     94    100      0      0      0      0  10251   2805  14442  14442      0 
    0    194     39      -     31     20      0      0      0      0  10251   2805  17806  17806      0 
    0    142     41      -     94    100      0      0      0      0  10251   2805  17806  17806      0 
    0    208     41      -     94    100      0      0      0      0  10251   2805  17806  17806      0 
    0    209     41      -     93    100      0      0      0      0  10251   2805  17806  17806      0 
    0    211     42      -     94    100      0      0      0      0  10251   2805  17806  17806      0 
    0    212     42      -     94    100      0      0      0      0  10251   2805  17806  17806      0 
    0    213     42      -     94    100      0      0      0      0  10251   2805  17806  17806      0 
    0    213     43      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    214     43      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    168     41      -     19      4      0      0      0      0  10251   2790  17806  17806      0 
    0    171     43      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    210     43      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    211     44      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    212     44      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    213     44      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    215     44      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    214     45      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    191     43      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    150     45      -     56     62      0      0      0      0  10251   2790  17806  17806      0 
    0    211     45      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    212     45      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    213     46      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    213     46      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    215     46      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    216     46      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    217     46      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    160     44      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    188     46      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    212     47      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    214     47      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    214     47      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    215     47      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    217     47      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    218     47      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    214     46      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    144     47      -     20      4      0      0      0      0  10251   2790  17806  17806      0 
    0    213     48      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    213     48      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    214     48      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    215     48      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    214     48      -     86    100      0      0      0      0  10251   2790  17806  17806      0 
    0    217     48      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    218     49      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    189     47      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    158     48      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    214     49      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    215     49      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    215     49      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    216     49      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    218     49      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    219     49      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    220     49      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    156     47      -     60     62      0      0      0      0  10251   2790  17806  17806      0 
    0    190     49      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    214     49      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    216     50      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    217     50      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    217     50      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    218     50      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    220     50      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    220     50      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    143     49      -     19      4      0      0      0      0  10251   2790  17806  17806      0 
    0    215     50      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    216     50      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    217     50      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    218     50      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    220     50      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    221     51      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    222     51      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    203     49      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    151     50      -     26     20      0      0      0      0  10251   2790  17806  17806      0 
    0    216     51      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    217     51      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    218     51      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    219     51      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    220     51      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    221     51      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    222     51      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    167     49      -     73     83      0      0      0      0  10251   2790  17806  17806      0 
    0    188     51      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    217     51      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    217     51      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    219     51      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    220     51      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    221     51      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    222     51      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    186     49      -     19      4      0      0      0      0  10251   2790  17806  17806      0 
    0    168     51      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    217     51      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    218     51      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    219     52      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    220     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    221     52      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
